institut,loebetid,aktuel_kurs,max_antal_afdragsfrie_aar,kuponrente,isin
RealKreditDanmark,30,69.475,29.75,1.5,DK0004619038
RealKreditDanmark,20,79.375,0.0,1.0,DK0004619111
RealKreditDanmark,30,72.775,10.0,1.5,DK0004619384
RealKreditDanmark,30,76.475,0.0,1.5,DK0004619467
RealKreditDanmark,30,76.225,29.75,2.0,DK0004619624
RealKreditDanmark,30,80.175,10.0,2.0,DK0004620127
RealKreditDanmark,30,81.975,0.0,2.0,DK0004622099
RealKreditDanmark,20,83.175,0.0,1.5,DK0004622172
RealKreditDanmark,20,86.225,0.0,2.0,DK0004622255
RealKreditDanmark,30,83.475,10.0,2.5,DK0004622339
RealKreditDanmark,30,80.475,30.0,2.5,DK0004622412
RealKreditDanmark,10,90.585,0.0,1.0,DK0004622685
RealKreditDanmark,15,86.698,0.0,1.5,DK0004622768
RealKreditDanmark,30,84.975,0.0,2.5,DK0004622842
RealKreditDanmark,30,88.275,0.0,3.0,DK0004622925
RealKreditDanmark,30,86.7,10.0,3.0,DK0004623063
RealKreditDanmark,30,83.65,29.75,3.0,DK0004623147
RealKreditDanmark,20,90.908,0.0,3.0,DK0004623220
RealKreditDanmark,30,90.825,29.75,4.0,DK0004623303
RealKreditDanmark,30,94.025,0.0,4.0,DK0004623659
RealKreditDanmark,30,92.8,10.0,4.0,DK0004623733
RealKreditDanmark,30,97.725,0.0,5.0,DK0004623816
RealKreditDanmark,30,96.825,10.0,5.0,DK0004624038
Nordea,30,96.175,30.0,5.0,DK0002055839
Nordea,30,90.7,30.0,4.0,DK0002054519
Nordea,30,83.325,30.0,3.0,DK0002053628
Nordea,30,80.25,30.0,2.5,DK0002053115
Nordea,30,76.1,30.0,2.0,DK0002050871
Nordea,30,69.125,30.0,1.5,DK0002050012
Nordea,30,62.075,30.0,1.0,DK0002049006
Nordea,30,96.925,10.0,5.0,DK0002056050
Nordea,30,93.15,10.0,4.0,DK0002055086
Nordea,30,90.025,10.0,3.5,DK0002054782
Nordea,30,86.625,10.0,3.0,DK0002053701
Nordea,30,83.275,10.0,2.5,DK0002053388
Nordea,30,79.225,10.0,2.0,DK0002051093
Nordea,30,72.8,10.0,1.5,DK0002050442
Nordea,30,67.575,10.0,1.0,DK0002047307
Nordea,30,65.575,10.0,0.5,DK0002049196
Nordea,30,97.9,0.0,5.0,DK0002055912
Nordea,30,94.325,0.0,4.0,DK0002054949
Nordea,30,88.1,0.0,3.0,DK0002053891
Nordea,30,84.95,0.0,2.5,DK0002053461
Nordea,30,81.85,0.0,2.0,DK0002053032
Nordea,30,76.65,0.0,1.5,DK0002050368
Nordea,30,72.175,0.0,1.0,DK0002047224
Nordea,30,67.05,0.0,0.5,DK0002048701
Nordea,20,95.775,0.0,4.0,DK0002056134
Nordea,20,90.925,0.0,3.0,DK0002054436
Nordea,20,85.85,0.0,2.0,DK0002053545
Nordea,20,82.6,0.0,1.5,DK0002051176
Nordea,20,78.675,0.0,1.0,DK0002050285
Nordea,20,75.9,0.0,0.5,DK0002047141
Nordea,20,74.175,0.0,0.0,DK0002049279
Nordea,15,95.775,0.0,4.0,DK0002056134
Nordea,15,90.925,0.0,3.0,DK0002054436
Nordea,15,85.85,0.0,2.0,DK0002053545
Nordea,15,82.6,0.0,1.5,DK0002051176
Nordea,15,78.675,0.0,1.0,DK0002050285
Nordea,10,86.95,0.0,0.0,DK0002048628
TotalKredit,30,97.7,0.0,5.0,DKK000953911
TotalKredit,30,94.2,0.0,4.0,DKK000953741
TotalKredit,30,91.35,0.0,3.5,DKK000953709
TotalKredit,30,88.2,0.0,3.0,DKK000953547
TotalKredit,30,84.95,0.0,2.5,DKK000953512
TotalKredit,30,81.9,0.0,2.0,DKK000952850
TotalKredit,30,76.5,0.0,1.5,DKK000952761
TotalKredit,30,71.9,0.0,1.0,DKK000952729
TotalKredit,30,66.9,0.0,0.5,DKK000953024
TotalKredit,30,96.8,10.0,5.0,DKK000953938
TotalKredit,30,92.95,10.0,4.0,DKK000953768
TotalKredit,30,89.85,10.0,3.5,DKK000953695
TotalKredit,30,86.5,10.0,3.0,DKK000953539
TotalKredit,30,83.05,10.0,2.5,DKK000953490
TotalKredit,30,79.1,10.0,2.0,DKK000952869
TotalKredit,30,72.9,10.0,1.5,DKK000952842
TotalKredit,30,67.75,10.0,1.0,DKK000952737
TotalKredit,30,65.65,10.0,0.5,DKK000953091
TotalKredit,30,96.8,30.0,5.0,DKK000953946
TotalKredit,30,90.9,30.0,4.0,DKK000953687
TotalKredit,30,83.6,30.0,3.0,DKK000953520
TotalKredit,30,80.1,30.0,2.5,DKK000953482
TotalKredit,30,76.1,30.0,2.0,DKK000953288
TotalKredit,30,69.5,30.0,1.5,DKK000953202
TotalKredit,30,62.4,30.0,1.0,DKK000953105
TotalKredit,20,95.4,0.0,4.0,DKK000953954
TotalKredit,20,90.65,0.0,3.0,DKK000953717
TotalKredit,20,85.5,0.0,2.0,DKK000953555
TotalKredit,20,82.6,0.0,1.5,DKK000953423
TotalKredit,20,78.8,0.0,1.0,DKK000952931
TotalKredit,20,75.45,0.0,0.5,DKK000952710
TotalKredit,10,97.1,0.0,3.0,DKK000953962
TotalKredit,10,93.85,0.0,2.0,DKK000953725
TotalKredit,10,90.4,0.0,1.0,DKK000953571
TotalKredit,10,87.0,0.0,0.0,DKK000952966
TotalKredit,10,86.4,0.0,-0.5,DKK000953059
