institut,loebetid,aktuel_kurs,max_antal_afdragsfrie_aar,kuponrente,isin
Jyske,10,86.882,0.0,-0.5,DK0009404451
Jyske,10,86.753,0.0,0.0,DK0009403800
Jyske,10,93.888,0.0,2.0,DK0009408957
Jyske,15,81.491,0.0,0.0,DK0009404022
Jyske,15,83.921,0.0,0.5,DK0009403990
Jyske,15,85.6,0.0,1.5,DK0009407710
Jyske,20,72.937,0.0,0.0,DK0009405342
Jyske,20,75.915,0.0,0.5,DK0009399784
Jyske,20,79.114,0.0,1.0,DK0009405698
Jyske,20,82.791,0.0,1.5,DK0009407041
Jyske,20,85.396,0.0,2.0,DK0009407553
Jyske,20,90.741,0.0,3.0,DK0009408874
Jyske,20,95.15,0.0,4.0,DK0009410268
Jyske,30,66.838,0.0,0.5,DK0009399867
Jyske,30,65.697,10.0,0.5,DK0009404535
Jyske,30,72.624,0.0,1.0,DK0009399941
Jyske,30,67.722,10.0,1.0,DK0009403131
Jyske,30,62.239,30.0,1.0,DK0009405185
Jyske,30,76.921,0.0,1.5,DK0009403644
Jyske,30,73.06,10.0,1.5,DK0009403727
Jyske,30,69.406,30.0,1.5,DK0009405508
Jyske,30,81.821,0.0,2.0,DK0009407124
Jyske,30,79.121,10.0,2.0,DK0009406746
Jyske,30,76.041,30.0,2.0,DK0009406076
Jyske,30,85.285,0.0,2.5,DK0009407470
Jyske,30,83.371,10.0,2.5,DK0009407397
Jyske,30,80.423,30.0,2.5,DK0009407207
Jyske,30,88.27,0.0,3.0,DK0009408288
Jyske,30,86.663,10.0,3.0,DK0009408015
Jyske,30,83.452,30.0,3.0,DK0009407983
Jyske,30,90.165,10.0,3.5,DK0009408791
Jyske,30,94.05,0.0,4.0,DK0009409252
Jyske,30,92.921,10.0,4.0,DK0009409179
Jyske,30,90.784,30.0,4.0,DK0009409096
Jyske,30,97.402,0.0,5.0,DK0009409922
Jyske,30,96.728,10.0,5.0,DK0009409419
Jyske,30,95.746,30.0,5.0,DK0009409336
RealKreditDanmark,30,67.8,10.0,1.0,DK0004616018
RealKreditDanmark,30,72.25,0.0,1.0,DK0004616281
RealKreditDanmark,20,76.0,0.0,0.5,DK0004616364
RealKreditDanmark,15,83.914,0.0,0.5,DK0004616448
RealKreditDanmark,10,87.64,0.0,0.0,DK0004616521
RealKreditDanmark,30,67.1,0.0,0.5,DK0004616604
RealKreditDanmark,30,62.5,29.75,1.0,DK0004616794
RealKreditDanmark,15,81.76,0.0,0.0,DK0004616877
RealKreditDanmark,10,87.19,0.0,-0.5,DK0004616950
RealKreditDanmark,0,66.075,10.0,0.5,DK0004618733
RealKreditDanmark,20,74.45,0.0,0.0,DK0004618816
RealKreditDanmark,30,69.725,29.75,1.5,DK0004619038
RealKreditDanmark,20,79.55,0.0,1.0,DK0004619111
RealKreditDanmark,30,73.025,10.0,1.5,DK0004619384
RealKreditDanmark,30,76.725,0.0,1.5,DK0004619467
RealKreditDanmark,30,76.475,29.75,2.0,DK0004619624
RealKreditDanmark,30,80.425,10.0,2.0,DK0004620127
RealKreditDanmark,30,82.225,0.0,2.0,DK0004622099
RealKreditDanmark,20,83.35,0.0,1.5,DK0004622172
RealKreditDanmark,20,86.4,0.0,2.0,DK0004622255
RealKreditDanmark,30,83.725,10.0,2.5,DK0004622339
RealKreditDanmark,30,80.725,30.0,2.5,DK0004622412
RealKreditDanmark,10,90.635,0.0,1.0,DK0004622685
RealKreditDanmark,15,86.873,0.0,1.5,DK0004622768
RealKreditDanmark,30,85.225,0.0,2.5,DK0004622842
RealKreditDanmark,30,88.525,0.0,3.0,DK0004622925
RealKreditDanmark,30,86.9,10.0,3.0,DK0004623063
RealKreditDanmark,30,83.9,29.75,3.0,DK0004623147
RealKreditDanmark,20,91.083,0.0,3.0,DK0004623220
RealKreditDanmark,30,91.075,29.75,4.0,DK0004623303
RealKreditDanmark,30,94.275,0.0,4.0,DK0004623659
RealKreditDanmark,30,93.05,10.0,4.0,DK0004623733
RealKreditDanmark,30,97.975,0.0,5.0,DK0004623816
RealKreditDanmark,30,97.075,10.0,5.0,DK0004624038
Nordea,30,96.425,30.0,5.0,DK0002055839
Nordea,30,90.95,30.0,4.0,DK0002054519
Nordea,30,83.575,30.0,3.0,DK0002053628
Nordea,30,80.525,30.0,2.5,DK0002053115
Nordea,30,76.375,30.0,2.0,DK0002050871
Nordea,30,69.4,30.0,1.5,DK0002050012
Nordea,30,62.325,30.0,1.0,DK0002049006
Nordea,30,97.1,10.0,5.0,DK0002056050
Nordea,30,93.325,10.0,4.0,DK0002055086
Nordea,30,90.275,10.0,3.5,DK0002054782
Nordea,30,86.875,10.0,3.0,DK0002053701
Nordea,30,83.525,10.0,2.5,DK0002053388
Nordea,30,79.475,10.0,2.0,DK0002051093
Nordea,30,73.05,10.0,1.5,DK0002050442
Nordea,30,67.825,10.0,1.0,DK0002047307
Nordea,30,65.825,10.0,0.5,DK0002049196
Nordea,30,98.075,0.0,5.0,DK0002055912
Nordea,30,94.5,0.0,4.0,DK0002054949
Nordea,30,88.35,0.0,3.0,DK0002053891
Nordea,30,85.2,0.0,2.5,DK0002053461
Nordea,30,82.1,0.0,2.0,DK0002053032
Nordea,30,76.9,0.0,1.5,DK0002050368
Nordea,30,72.45,0.0,1.0,DK0002047224
Nordea,30,67.3,0.0,0.5,DK0002048701
Nordea,20,96.025,0.0,4.0,DK0002056134
Nordea,20,91.175,0.0,3.0,DK0002054436
Nordea,20,86.1,0.0,2.0,DK0002053545
Nordea,20,82.85,0.0,1.5,DK0002051176
Nordea,20,78.925,0.0,1.0,DK0002050285
Nordea,20,76.175,0.0,0.5,DK0002047141
Nordea,20,74.425,0.0,0.0,DK0002049279
Nordea,15,96.025,0.0,4.0,DK0002056134
Nordea,15,91.175,0.0,3.0,DK0002054436
Nordea,15,86.1,0.0,2.0,DK0002053545
Nordea,15,82.85,0.0,1.5,DK0002051176
Nordea,15,78.925,0.0,1.0,DK0002050285
Nordea,10,87.1,0.0,0.0,DK0002048628
TotalKredit,30,97.7,0.0,5.0,DKK000953911
TotalKredit,30,94.2,0.0,4.0,DKK000953741
TotalKredit,30,91.37,0.0,3.5,DKK000953709
TotalKredit,30,88.15,0.0,3.0,DKK000953547
TotalKredit,30,84.95,0.0,2.5,DKK000953512
TotalKredit,30,81.9,0.0,2.0,DKK000952850
TotalKredit,30,76.5,0.0,1.5,DKK000952761
TotalKredit,30,71.9,0.0,1.0,DKK000952729
TotalKredit,30,66.9,0.0,0.5,DKK000953024
TotalKredit,30,96.65,10.0,5.0,DKK000953938
TotalKredit,30,92.97,10.0,4.0,DKK000953768
TotalKredit,30,89.87,10.0,3.5,DKK000953695
TotalKredit,30,86.45,10.0,3.0,DKK000953539
TotalKredit,30,83.05,10.0,2.5,DKK000953490
TotalKredit,30,79.1,10.0,2.0,DKK000952869
TotalKredit,30,72.9,10.0,1.5,DKK000952842
TotalKredit,30,67.75,10.0,1.0,DKK000952737
