institut,loebetid,aktuel_kurs,max_antal_afdragsfrie_aar,kuponrente,isin
Jyske,10,86.946,0.0,-0.5,DK0009404451
Jyske,10,86.983,0.0,0.0,DK0009403800
Jyske,10,94.088,0.0,2.0,DK0009408957
Jyske,15,81.893,0.0,0.0,DK0009404022
Jyske,15,84.311,0.0,0.5,DK0009403990
Jyske,15,86.1,0.0,1.5,DK0009407710
Jyske,20,73.592,0.0,0.0,DK0009405342
Jyske,20,76.52,0.0,0.5,DK0009399784
Jyske,20,79.769,0.0,1.0,DK0009405698
Jyske,20,83.395,0.0,1.5,DK0009407041
Jyske,20,85.945,0.0,2.0,DK0009407553
Jyske,20,91.284,0.0,3.0,DK0009408874
Jyske,20,95.65,0.0,4.0,DK0009410268
Jyske,30,67.557,0.0,0.5,DK0009399867
Jyske,30,66.446,10.0,0.5,DK0009404535
Jyske,30,73.353,0.0,1.0,DK0009399941
Jyske,30,68.49,10.0,1.0,DK0009403131
Jyske,30,62.978,30.0,1.0,DK0009405185
Jyske,30,77.628,0.0,1.5,DK0009403644
Jyske,30,73.804,10.0,1.5,DK0009403727
Jyske,30,70.126,30.0,1.5,DK0009405508
Jyske,30,82.455,0.0,2.0,DK0009407124
Jyske,30,79.81,10.0,2.0,DK0009406746
Jyske,30,76.725,30.0,2.0,DK0009406076
Jyske,30,85.949,0.0,2.5,DK0009407470
Jyske,30,84.04,10.0,2.5,DK0009407397
Jyske,30,81.112,30.0,2.5,DK0009407207
Jyske,30,88.879,0.0,3.0,DK0009408288
Jyske,30,87.272,10.0,3.0,DK0009408015
Jyske,30,84.098,30.0,3.0,DK0009407983
Jyske,30,90.732,10.0,3.5,DK0009408791
Jyske,30,94.618,0.0,4.0,DK0009409252
Jyske,30,93.489,10.0,4.0,DK0009409179
Jyske,30,91.45,30.0,4.0,DK0009409096
Jyske,30,98.036,0.0,5.0,DK0009409922
Jyske,30,97.356,10.0,5.0,DK0009409419
Jyske,30,96.394,30.0,5.0,DK0009409336
Nordea,30,96.8,30.0,5.0,DK0002055839
Nordea,30,91.325,30.0,4.0,DK0002054519
Nordea,30,83.95,30.0,3.0,DK0002053628
Nordea,30,80.9,30.0,2.5,DK0002053115
Nordea,30,76.75,30.0,2.0,DK0002050871
Nordea,30,69.775,30.0,1.5,DK0002050012
Nordea,30,62.7,30.0,1.0,DK0002049006
Nordea,30,97.35,10.0,5.0,DK0002056050
Nordea,30,93.6,10.0,4.0,DK0002055086
Nordea,30,90.45,10.0,3.5,DK0002054782
Nordea,30,87.125,10.0,3.0,DK0002053701
Nordea,30,83.875,10.0,2.5,DK0002053388
Nordea,30,79.825,10.0,2.0,DK0002051093
Nordea,30,73.55,10.0,1.5,DK0002050442
Nordea,30,68.2,10.0,1.0,DK0002047307
Nordea,30,66.15,10.0,0.5,DK0002049196
Nordea,30,98.325,0.0,5.0,DK0002055912
Nordea,30,94.775,0.0,4.0,DK0002054949
Nordea,30,88.575,0.0,3.0,DK0002053891
Nordea,30,85.55,0.0,2.5,DK0002053461
Nordea,30,82.45,0.0,2.0,DK0002053032
Nordea,30,77.3,0.0,1.5,DK0002050368
Nordea,30,72.625,0.0,1.0,DK0002047224
Nordea,30,67.625,0.0,0.5,DK0002048701
Nordea,20,96.075,0.0,4.0,DK0002056134
Nordea,20,91.3,0.0,3.0,DK0002054436
Nordea,20,86.2,0.0,2.0,DK0002053545
Nordea,20,83.2,0.0,1.5,DK0002051176
Nordea,20,79.325,0.0,1.0,DK0002050285
Nordea,20,76.35,0.0,0.5,DK0002047141
Nordea,20,74.75,0.0,0.0,DK0002049279
Nordea,15,96.075,0.0,4.0,DK0002056134
Nordea,15,91.3,0.0,3.0,DK0002054436
Nordea,15,86.2,0.0,2.0,DK0002053545
Nordea,15,83.2,0.0,1.5,DK0002051176
Nordea,15,79.325,0.0,1.0,DK0002050285
Nordea,10,87.2,0.0,0.0,DK0002048628
TotalKredit,30,98.2,0.0,5.0,DKK000953911
TotalKredit,30,95.05,0.0,4.0,DKK000953741
TotalKredit,30,91.9,0.0,3.5,DKK000953709
TotalKredit,30,88.75,0.0,3.0,DKK000953547
TotalKredit,30,85.75,0.0,2.5,DKK000953512
TotalKredit,30,82.7,0.0,2.0,DKK000952850
TotalKredit,30,77.25,0.0,1.5,DKK000952761
TotalKredit,30,72.65,0.0,1.0,DKK000952729
TotalKredit,30,67.65,0.0,0.5,DKK000953024
TotalKredit,30,97.5,10.0,5.0,DKK000953938
TotalKredit,30,93.5,10.0,4.0,DKK000953768
TotalKredit,30,90.4,10.0,3.5,DKK000953695
TotalKredit,30,87.05,10.0,3.0,DKK000953539
TotalKredit,30,83.85,10.0,2.5,DKK000953490
TotalKredit,30,79.9,10.0,2.0,DKK000952869
TotalKredit,30,73.65,10.0,1.5,DKK000952842
TotalKredit,30,68.5,10.0,1.0,DKK000952737
TotalKredit,30,66.4,10.0,0.5,DKK000953091
TotalKredit,30,96.65,30.0,5.0,DKK000953946
TotalKredit,30,91.45,30.0,4.0,DKK000953687
TotalKredit,30,84.15,30.0,3.0,DKK000953520
TotalKredit,30,80.9,30.0,2.5,DKK000953482
TotalKredit,30,76.9,30.0,2.0,DKK000953288
TotalKredit,30,70.25,30.0,1.5,DKK000953202
TotalKredit,30,63.15,30.0,1.0,DKK000953105
TotalKredit,20,96.0,0.0,4.0,DKK000953954
TotalKredit,20,91.25,0.0,3.0,DKK000953717
TotalKredit,20,86.1,0.0,2.0,DKK000953555
TotalKredit,20,83.2,0.0,1.5,DKK000953423
TotalKredit,20,79.4,0.0,1.0,DKK000952931
TotalKredit,20,76.05,0.0,0.5,DKK000952710
TotalKredit,10,97.5,0.0,3.0,DKK000953962
TotalKredit,10,94.25,0.0,2.0,DKK000953725
TotalKredit,10,90.8,0.0,1.0,DKK000953571
TotalKredit,10,87.4,0.0,0.0,DKK000952966
TotalKredit,10,86.8,0.0,-0.5,DKK000953059
