institut,loebetid,aktuel_kurs,max_antal_afdragsfrie_aar,kuponrente,isin
Jyske,10,86.986,0.0,-0.5,DK0009404451
Jyske,10,87.03,0.0,0.0,DK0009403800
Jyske,10,94.094,0.0,2.0,DK0009408957
Jyske,15,81.945,0.0,0.0,DK0009404022
Jyske,15,84.341,0.0,0.5,DK0009403990
Jyske,15,86.0,0.0,1.5,DK0009407710
Jyske,20,73.577,0.0,0.0,DK0009405342
Jyske,20,76.495,0.0,0.5,DK0009399784
Jyske,20,79.774,0.0,1.0,DK0009405698
Jyske,20,83.4,0.0,1.5,DK0009407041
Jyske,20,85.95,0.0,2.0,DK0009407553
Jyske,20,91.259,0.0,3.0,DK0009408874
Jyske,20,95.65,0.0,4.0,DK0009410268
Jyske,30,67.537,0.0,0.5,DK0009399867
Jyske,30,66.431,10.0,0.5,DK0009404535
Jyske,30,73.328,0.0,1.0,DK0009399941
Jyske,30,68.49,10.0,1.0,DK0009403131
Jyske,30,62.998,30.0,1.0,DK0009405185
Jyske,30,77.62,0.0,1.5,DK0009403644
Jyske,30,73.814,10.0,1.5,DK0009403727
Jyske,30,70.136,30.0,1.5,DK0009405508
Jyske,30,82.46,0.0,2.0,DK0009407124
Jyske,30,79.82,10.0,2.0,DK0009406746
Jyske,30,76.735,30.0,2.0,DK0009406076
Jyske,30,85.946,0.0,2.5,DK0009407470
Jyske,30,84.035,10.0,2.5,DK0009407397
Jyske,30,81.117,30.0,2.5,DK0009407207
Jyske,30,88.889,0.0,3.0,DK0009408288
Jyske,30,87.282,10.0,3.0,DK0009408015
Jyske,30,84.11,30.0,3.0,DK0009407983
Jyske,30,90.691,10.0,3.5,DK0009408791
Jyske,30,94.588,0.0,4.0,DK0009409252
Jyske,30,93.459,10.0,4.0,DK0009409179
Jyske,30,91.475,30.0,4.0,DK0009409096
Jyske,30,98.026,0.0,5.0,DK0009409922
Jyske,30,97.314,10.0,5.0,DK0009409419
Jyske,30,96.369,30.0,5.0,DK0009409336
Nordea,30,97.175,30.0,5.0,DK0002055839
Nordea,30,91.7,30.0,4.0,DK0002054519
Nordea,30,84.325,30.0,3.0,DK0002053628
Nordea,30,81.275,30.0,2.5,DK0002053115
Nordea,30,77.125,30.0,2.0,DK0002050871
Nordea,30,70.15,30.0,1.5,DK0002050012
Nordea,30,63.075,30.0,1.0,DK0002049006
Nordea,30,97.725,10.0,5.0,DK0002056050
Nordea,30,93.875,10.0,4.0,DK0002055086
Nordea,30,90.725,10.0,3.5,DK0002054782
Nordea,30,87.425,10.0,3.0,DK0002053701
Nordea,30,84.175,10.0,2.5,DK0002053388
Nordea,30,80.125,10.0,2.0,DK0002051093
Nordea,30,73.85,10.0,1.5,DK0002050442
Nordea,30,68.575,10.0,1.0,DK0002047307
Nordea,30,66.525,10.0,0.5,DK0002049196
Nordea,30,98.675,0.0,5.0,DK0002055912
Nordea,30,95.05,0.0,4.0,DK0002054949
Nordea,30,88.875,0.0,3.0,DK0002053891
Nordea,30,85.85,0.0,2.5,DK0002053461
Nordea,30,82.75,0.0,2.0,DK0002053032
Nordea,30,77.6,0.0,1.5,DK0002050368
Nordea,30,73.0,0.0,1.0,DK0002047224
Nordea,30,68.0,0.0,0.5,DK0002048701
Nordea,20,96.525,0.0,4.0,DK0002056134
Nordea,20,91.7,0.0,3.0,DK0002054436
Nordea,20,86.5,0.0,2.0,DK0002053545
Nordea,20,83.5,0.0,1.5,DK0002051176
Nordea,20,79.625,0.0,1.0,DK0002050285
Nordea,20,76.725,0.0,0.5,DK0002047141
Nordea,20,75.125,0.0,0.0,DK0002049279
Nordea,15,96.525,0.0,4.0,DK0002056134
Nordea,15,91.7,0.0,3.0,DK0002054436
Nordea,15,86.5,0.0,2.0,DK0002053545
Nordea,15,83.5,0.0,1.5,DK0002051176
Nordea,15,79.625,0.0,1.0,DK0002050285
Nordea,10,87.425,0.0,0.0,DK0002048628
