institut,loebetid,aktuel_kurs,max_antal_afdragsfrie_aar,kuponrente,isin
Jyske,10,86.976,0,-0.5,DK0009404451
Jyske,10,86.996,0,0.0,DK0009403800
Jyske,10,94.057,0,2.0,DK0009408957
Jyske,15,81.861,0,0.0,DK0009404022
Jyske,15,84.281,0,0.5,DK0009403990
Jyske,15,86.0,0,1.5,DK0009407710
Jyske,20,73.469,0,0.0,DK0009405342
Jyske,20,76.462,0,0.5,DK0009399784
Jyske,20,79.646,0,1.0,DK0009405698
Jyske,20,83.272,0,1.5,DK0009407041
Jyske,20,85.822,0,2.0,DK0009407553
Jyske,20,91.239,0,3.0,DK0009408874
Jyske,20,95.9,0,4.0,DK0009410268
Jyske,30,67.479,0,0.5,DK0009399867
Jyske,30,66.37,10,0.5,DK0009404535
Jyske,30,73.29,0,1.0,DK0009399941
Jyske,30,68.402,10,1.0,DK0009403131
Jyske,30,62.875,30,1.0,DK0009405185
Jyske,30,77.559,0,1.5,DK0009403644
Jyske,30,73.741,10,1.5,DK0009403727
Jyske,30,70.013,30,1.5,DK0009405508
Jyske,30,82.332,0,2.0,DK0009407124
Jyske,30,79.688,10,2.0,DK0009406746
Jyske,30,76.602,30,2.0,DK0009406076
Jyske,30,85.826,0,2.5,DK0009407470
Jyske,30,83.972,10,2.5,DK0009407397
Jyske,30,81.029,30,2.5,DK0009407207
Jyske,30,88.776,0,3.0,DK0009408288
Jyske,30,87.189,10,3.0,DK0009408015
Jyske,30,83.962,30,3.0,DK0009407983
Jyske,30,90.692,10,3.5,DK0009408791
Jyske,30,94.52,0,4.0,DK0009409252
Jyske,30,93.391,10,4.0,DK0009409179
Jyske,30,91.417,30,4.0,DK0009409096
Jyske,30,97.904,0,5.0,DK0009409922
Jyske,30,97.316,10,5.0,DK0009409419
Jyske,30,96.296,30,5.0,DK0009409336
RealKreditDanmark,30,68.8,40,1.0,DK0004616018
RealKreditDanmark,30,73.25,0,1.0,DK0004616281
RealKreditDanmark,20,76.82,0,0.5,DK0004616364
RealKreditDanmark,15,84.548,0,0.5,DK0004616448
RealKreditDanmark,10,87.83,0,0.0,DK0004616521
RealKreditDanmark,30,68.075,0,0.5,DK0004616604
RealKreditDanmark,30,63.5,119,1.0,DK0004616794
RealKreditDanmark,15,82.14,0,0.0,DK0004616877
RealKreditDanmark,10,87.38,0,-0.5,DK0004616950
RealKreditDanmark,0,67.05,40,0.5,DK0004618733
RealKreditDanmark,20,75.355,0,0.0,DK0004618816
RealKreditDanmark,30,70.7,119,1.5,DK0004619038
RealKreditDanmark,20,80.33,0,1.0,DK0004619111
RealKreditDanmark,30,74.225,40,1.5,DK0004619384
RealKreditDanmark,30,77.825,0,1.5,DK0004619467
RealKreditDanmark,30,77.45,119,2.0,DK0004619624
RealKreditDanmark,30,81.4,40,2.0,DK0004620127
RealKreditDanmark,30,83.2,0,2.0,DK0004622099
RealKreditDanmark,20,84.105,0,1.5,DK0004622172
RealKreditDanmark,20,87.14,0,2.0,DK0004622255
RealKreditDanmark,30,84.7,40,2.5,DK0004622339
RealKreditDanmark,30,81.7,120,2.5,DK0004622412
RealKreditDanmark,10,90.83,0,1.0,DK0004622685
RealKreditDanmark,15,87.555,0,1.5,DK0004622768
RealKreditDanmark,30,86.2,0,2.5,DK0004622842
RealKreditDanmark,30,89.5,0,3.0,DK0004622925
RealKreditDanmark,30,87.875,40,3.0,DK0004623063
RealKreditDanmark,30,84.875,119,3.0,DK0004623147
RealKreditDanmark,20,91.765,0,3.0,DK0004623220
RealKreditDanmark,30,91.9,119,4.0,DK0004623303
RealKreditDanmark,30,95.2,0,4.0,DK0004623659
RealKreditDanmark,30,93.975,40,4.0,DK0004623733
RealKreditDanmark,30,98.95,0,5.0,DK0004623816
RealKreditDanmark,30,98.1,40,5.0,DK0004624038
Nordea,30,97.05,30,5.0,DK0002055839
Nordea,30,91.575,30,4.0,DK0002054519
Nordea,30,84.2,30,3.0,DK0002053628
Nordea,30,81.15,30,2.5,DK0002053115
Nordea,30,77.0,30,2.0,DK0002050871
Nordea,30,70.025,30,1.5,DK0002050012
Nordea,30,62.95,30,1.0,DK0002049006
Nordea,30,97.6,10,5.0,DK0002056050
Nordea,30,93.75,10,4.0,DK0002055086
Nordea,30,90.625,10,3.5,DK0002054782
Nordea,30,87.3,10,3.0,DK0002053701
Nordea,30,84.025,10,2.5,DK0002053388
Nordea,30,79.975,10,2.0,DK0002051093
Nordea,30,73.7,10,1.5,DK0002050442
Nordea,30,68.45,10,1.0,DK0002047307
Nordea,30,66.4,10,0.5,DK0002049196
Nordea,30,98.575,0,5.0,DK0002055912
Nordea,30,94.925,0,4.0,DK0002054949
Nordea,30,88.75,0,3.0,DK0002053891
